City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
460,Bandarbeyla,SO,85.01,overcast clouds,9.4942,50.8122,JABIR HOTEL
462,Morant Bay,JM,75.61,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
463,Planaltina,BR,68.29,scattered clouds,-15.4528,-47.6142,Retiro Maranata
464,Esmeraldas,BR,61.66,broken clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
465,Kilindoni,TZ,78.51,clear sky,-7.9139,39.6668,Bustani B&B
466,Bima,ID,83.5,overcast clouds,-8.4667,118.7167,Lambitu Hotel
467,Kokstad,ZA,83.14,broken clouds,-30.5472,29.4241,Majestic Bed and Breakfast
469,Kashi,CN,84.43,clear sky,39.4547,75.9797,帕米尔青年旅舍
474,Todos Santos,MX,83.01,clear sky,23.45,-110.2167,Hotel California Todos Santos
480,Kemin,KG,79.38,clear sky,42.7846,75.6892,Hotel Kok-Oirok
482,Kathmandu,NP,80.82,broken clouds,27.7167,85.3167,Hotel Shanker Kathmandu
483,Candia,US,62.71,few clouds,43.0779,-71.2767,Stephen Clay Homestead Bed and Breakfast
486,Petrovskaya,RU,63.09,broken clouds,45.4314,37.955,Pridorozhnyy Kompleks Teremok
487,Northam,GB,64.67,overcast clouds,51.0333,-4.2167,Durrant House Hotel
490,Vredendal,ZA,75.33,broken clouds,-31.6683,18.5012,Tharrakamma Guest House
491,Hervey Bay,AU,70.03,clear sky,-25.2986,152.8535,Shelly Bay Resort
492,Leh,IN,61.59,overcast clouds,34.1667,77.5833,Hotel Ladakh Greens
495,Eirunepe,BR,70.32,overcast clouds,-6.6603,-69.8736,Atrás de você
496,Riverton,US,65.71,clear sky,40.5219,-111.9391,Ramada by Wyndham Draper
497,Sawtell,AU,66.22,scattered clouds,-30.3833,153.1,Island Beach House Sawtell
499,Pokrovskoye,RU,61.9,few clouds,47.4157,38.8971,Тихий уголок
501,Oussouye,SN,80.2,broken clouds,12.485,-16.5469,Auberge du Routard
502,Buala,SB,80.65,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
505,Grand Gaube,MU,77.4,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
506,Lipari,IT,84.09,clear sky,38.4674,14.954,Hotel Villa Diana Soc. Clelia Hunziker s.a.s.
508,Port-Gentil,GA,80.56,overcast clouds,-0.7193,8.7815,Fengshui Residence
512,Kutum,SD,85.57,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
514,San Policarpo,PH,83.25,overcast clouds,12.1791,125.5072,Manong Aklan Resort
515,Parintins,BR,73.2,broken clouds,-2.6283,-56.7358,Cama e Cafe
516,Nieuw Nickerie,SR,79.66,broken clouds,5.95,-56.9833,Ishwardat Inn
517,Neumunster,DE,64.24,overcast clouds,54.0667,9.9833,Best Western Hotel Prisma
520,Dawan,CN,89.71,clear sky,24.34,112.948,Hongyan Guest House
525,Veraval,IN,83.52,broken clouds,20.9,70.3667,Lords Inn Somnath
528,Anloga,GH,80.82,overcast clouds,5.7947,0.8973,Pin Drop Hotel
530,Garden City,US,62.85,overcast clouds,42.3256,-83.331,Quality Inn & Suites Banquet Center
532,Baker City,US,61.59,clear sky,44.7749,-117.8344,Bridge Street Inn
535,Muros,ES,66.24,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
539,Jieshi,CN,84.65,clear sky,22.8134,115.8257,Yuehai Hotel
540,Moranbah,AU,75.31,few clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
541,Marsaxlokk,MT,83.01,few clouds,35.8419,14.5431,Water's Edge
542,San-Pedro,CI,78.04,overcast clouds,4.7485,-6.6363,Hotel Maria
543,Hami,CN,71.56,clear sky,42.8,93.45,Laoyutang Resort
544,Corinto,GR,85.6,clear sky,37.9407,22.9573,Ephira Hotel
545,Seoul,KR,74.77,clear sky,37.5683,126.9778,Lotte Hotel Seoul
546,Ballina,AU,73.44,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
548,Meulaboh,ID,84.81,broken clouds,4.1363,96.1285,Kost Pria
550,Puerto Escondido,MX,77.47,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
553,Imphal,IN,85.91,scattered clouds,24.8167,93.95,State Guest House
555,Belmonte,BR,66.7,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
556,Handan,CN,61.68,moderate rain,36.6006,114.4678,Jin Jiang Inn - Handan China South Street Inn
557,Itoman,JP,84.22,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
558,Caraballeda,VE,75.27,scattered clouds,10.6112,-66.8522,Hotel 15 Letras
559,Kuryk,KZ,69.22,clear sky,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
560,Manbij,SY,77.77,clear sky,36.5281,37.9549,Manbej City Hotel
565,Maningrida,AU,79.27,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
567,Skegness,GB,66.18,overcast clouds,53.1436,0.3363,The Royal Hotel
570,Atherton,GB,65.91,overcast clouds,53.5237,-2.4935,The Lion Inn
573,Cap Malheureux,MU,77.49,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
579,Luena,AO,87.49,clear sky,-11.7833,19.9167,Hotel Kandamba
583,Poli,TZ,73.89,overcast clouds,-3.3333,36.8,Urafiki House
584,Port Hedland,AU,82.45,clear sky,-20.3167,118.5667,The Esplanade Hotel
585,Yasnyy,RU,66.97,broken clouds,51.0333,59.8742,Gostinitsa
587,Bunia,CD,73.65,light rain,1.5667,30.25,Gold Star International Hotel
588,Manohar Thana,IN,88.12,scattered clouds,24.24,76.8018,GEETA SADAN
589,Nador,MA,70.05,overcast clouds,35.174,-2.9287,Hôtel La Giralda
593,Cayenne,GF,77.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
596,Salina Cruz,MX,76.82,overcast clouds,16.1667,-95.2,Amerik HOTEL
598,Nuevo Progreso,MX,76.59,scattered clouds,23.1667,-97.95,Balneario Rio el Paraiso
599,Kabakovo,RU,61.09,light rain,54.5369,56.1517,Смарт Девелоперс
601,San Javier,ES,79.74,broken clouds,37.8063,-0.8374,Hotel Mar Menor
